Date,Temperature,CO2,Water_Quality,Air_Quality
1/1/2024,22.5,410,85,45
1/2/2024,23.1,412,83,48
1/3/2024,21.8,408,87,42
1/4/2024,24.2,415,82,52
1/5/2024,22.9,411,86,46
1/6/2024,23.7,413,84,49
1/7/2024,21.5,407,88,41
1/8/2024,25.1,418,81,55
1/9/2024,23.3,414,85,47
1/10/2024,22.7,409,87,44
1/11/2024,24.8,416,83,51
1/12/2024,22.1,410,86,43
1/13/2024,23.9,412,84,48
1/14/2024,21.9,408,88,42
1/15/2024,24.5,417,82,53
1/16/2024,23.8,414,85,47
1/17/2024,22.3,409,87,44
1/18/2024,24.7,419,81,56
1/19/2024,21.2,406,89,40
1/20/2024,25.3,420,80,58
1/21/2024,22.8,411,86,45
1/22/2024,23.5,413,84,49
1/23/2024,21.7,408,88,42
1/24/2024,24.1,416,82,51
1/25/2024,23,412,85,47
1/26/2024,22.6,410,87,44
1/27/2024,24.9,418,81,54
1/28/2024,21.4,407,89,41
1/29/2024,25.2,421,80,57
1/30/2024,23.2,413,85,48
